"","date","covid.symptoms","covid.testing","isPartial","Region","loss.of.smell","loss.of.taste","covid","iphone"
"1","2020-04-01",26,0,"False","US-WY",0,0,62,10
"2","2020-04-02",0,13,"False","US-WY",0,0,88,9
"3","2020-04-03",0,0,"False","US-WY",0,0,100,10
"4","2020-04-04",46,0,"False","US-WY",0,0,86,9
"5","2020-04-05",0,0,"False","US-WY",0,0,57,5
"6","2020-04-06",25,0,"False","US-WY",0,0,80,0
"7","2020-04-07",0,13,"False","US-WY",0,0,93,4
"8","2020-04-08",14,14,"False","US-WY",0,0,46,18
"9","2020-04-09",27,0,"False","US-WY",0,0,54,2
"10","2020-04-10",15,0,"False","US-WY",0,0,60,15
"11","2020-04-11",15,0,"False","US-WY",0,0,58,9
"12","2020-04-12",15,0,"False","US-WY",0,0,56,13
"13","2020-04-13",0,0,"False","US-WY",0,0,63,15
"14","2020-04-14",12,0,"False","US-WY",0,0,57,11
"15","2020-04-15",0,0,"False","US-WY",0,0,37,11
"16","2020-04-16",0,0,"False","US-WY",0,0,42,7
"17","2020-04-17",0,0,"False","US-WY",0,0,48,10
"18","2020-04-18",0,0,"False","US-WY",0,0,43,2
"19","2020-04-19",15,0,"False","US-WY",0,0,27,9
"20","2020-04-20",13,13,"False","US-WY",0,0,38,9
"21","2020-04-21",13,0,"False","US-WY",0,0,25,4
"22","2020-04-22",27,13,"False","US-WY",0,0,65,4
"23","2020-04-23",0,13,"False","US-WY",0,0,48,4
"24","2020-04-24",12,0,"False","US-WY",0,0,33,4
"25","2020-04-25",16,0,"False","US-WY",0,0,25,12
"26","2020-04-26",0,0,"False","US-WY",0,0,43,14
"27","2020-04-27",0,0,"False","US-WY",0,0,21,6
"28","2020-04-28",0,0,"False","US-WY",0,0,51,14
"29","2020-04-29",14,0,"False","US-WY",0,0,46,8
"30","2020-04-30",14,14,"False","US-WY",0,0,32,10
"31","2020-05-01",0,14,"False","US-WY",0,0,52,12
"32","2020-05-02",0,0,"False","US-WY",0,0,39,7
"33","2020-05-03",0,16,"False","US-WY",0,0,38,7
"34","2020-05-04",0,0,"False","US-WY",0,0,43,8
